file name,manget,kb,mb,gb
2015年央视315晚会.2015.HD1080P.X264.AAC.Mandarin.Mp4Ba.torrent,magnet:?xt=urn:btih:5NID57M6BXQIV6XOAPHADHSP7RXEAKBU,6447104.119140625,6296.000116348267
2015年央视315晚会.2015.HD720P.X264.AAC.Mandarin.Mp4Ba.torrent,magnet:?xt=urn:btih:UCCDGIK6JXWXOWIW7VF6MYUI6GMZMLZN,2800640.119140625,2735.0001163482666
2015维多利亚的秘密时尚内衣秀.The.Victorias.Secret.Fashion.Show.2015.HD1080P.X264.AAC.English.CHS-ENG.Mp4Ba.torrent,magnet:?xt=urn:btih:KQFMDBVH6DU53PWWAGKRZUJOHOCW6ZGR,2579968.119140625,2519.5001163482666
2015维多利亚的秘密时尚内衣秀.The.Victorias.Secret.Fashion.Show.2015.HD720P.X264.AAC.English.CHS-ENG.Mp4Ba.torrent,magnet:?xt=urn:btih:ODG3PSJFXCUPSFO22GLVYAIH5RKOT2ZE,1161728.119140625,1134.5001163482666
2015香港小姐竞选决赛.Miss.Hong.Kong.Pageant.2015.HD1080P.X264.AAC.Cantonese.Mp4Ba.torrent,magnet:?xt=urn:btih:H4SYUP7VER4PWROXHFPV4I3EORX53R44,5131264.119140625,5011.000116348267
2015香港小姐竞选决赛.Miss.Hong.Kong.Pageant.2015.HD720P.X264.AAC.Cantonese.Mp4Ba.torrent,magnet:?xt=urn:btih:LYRHWTTWVCYITFFVSQEOLZT75IVAY33R,2272256.119140625,2219.0001163482666
2016亚洲风尚大典SIA.HD1080P.X264.AAC.Korean.Mp4Ba.torrent,magnet:?xt=urn:btih:ITRN35ESVNUQWOMH66KL35XPIWJPFXC2,10739712.119140625,10488.000116348267
2016亚洲风尚大典SIA.HD720P.X264.AAC.Korean.Mp4Ba.torrent,magnet:?xt=urn:btih:5NHDGVZQG6N4O2M7ZLXPSRZNEGZBHWHP,4172288.119140625,4074.5001163482666
2016岳云鹏“岳来越好”天津专场.HD720P.X264.AAC.Mandarin.Mp4Ba.torrent,magnet:?xt=urn:btih:XW4SJ4UQ33LLRUU7EFBEBL2BSMGNWQY7,4163584.119140625,4066.0001163482666
2016年央视315晚会.HD1080P.X264.AAC.Mandarin.Mp4Ba.torrent,magnet:?xt=urn:btih:Q2J2MUWIXWBC2H7UYK32KZVHTJHWZ2GE,6811648.119140625,6652.000116348267
2016年央视315晚会.HD720P.X264.AAC.Mandarin.Mp4Ba.torrent,magnet:?xt=urn:btih:I2W3XLVXRGGU3P6MCP6EXF27JEZNXCMV,3067392.119140625,2995.5001163482666
2016年美国公告牌音乐大奖颁奖礼.The.2016.Billboard.Music.Awards.HD720P.X264.AAC.English.CHS.Mp4Ba.torrent,magnet:?xt=urn:btih:36MK47VUAEMYGENH5WZVQO45L3SKRAFS,4130304.119140625,4033.5001163482666
2016年里约夏季奥运会开幕式.Rio.2016.Summer.Olympic.Games-Opening.Ceremony.2016.HD1080P.X264.AAC.Mandarin.CHS.Mp4Ba.torrent,magnet:?xt=urn:btih:5OYWL7WPYK7KVEYGPDAHDNSAJF6PVJM3,14508032.119140625,14168.000116348267
2016年里约夏季奥运会开幕式.Rio.2016.Summer.Olympic.Games-Opening.Ceremony.2016.HD720P.X264.AAC.Mandarin.CHS.Mp4Ba.torrent,magnet:?xt=urn:btih:2LYZT2MNTAUFSSQY6OUWSRHX3F3RXS4Y,6422528.119140625,6272.000116348267
24小时：再活一天.24.Live.Another.Day.S09E01-06.HD1080P.X264.AAC.english.CHS-ENG.Mp4Ba.torrent,magnet:?xt=urn:btih:EFCRMGYIRLPY4DDUHHAVZLMC3PKUHHWC,9911453.690429688,9679.153994560242
